Title,Categories
Wasserschloss Glatt,"['Bauwerk in Sulz am Neckar', 'Ehemalige Kunstschule', 'Gegründet 1946']"
Eidgenössische Bank,"['Ehemaliges Kreditinstitut (Schweiz)', 'Gegründet 1863']"
Skigebiet Kreuzberg,"['Sport (Landkreis Rhön-Grabfeld)', 'Wintersport in der Rhön', 'Bischofsheim in der Rhön', 'Sport (Landkreis Rhön-Grabfeld)']"
Weinbergkirche (Dresden),"['Kirchengebäude in Dresden', 'Barockbauwerk in Dresden', 'Kirche in der Evangelisch-Lutherischen Landeskirche Sachsens|Dresden', 'Disposition einer Orgel|Dresden, Weinbergkirche', 'Heilig-Geist-Kirche|Dresden', 'Erbaut in den 1720er Jahren', 'Pillnitz', 'Weinbergkirche|Dresden', 'Denkmalgeschütztes Bauwerk in Dresden', 'Kulturdenkmal in Dresden', 'Barocke Kirche|Dresden', 'Barocke Kanzel|Dresden, Weinbergkirche', 'Barockes Taufbecken|Dresden, Weinbergkirche']"
NS-Bund Deutscher Technik,"['Verein (Wien)', 'Gegründet 1848', 'Österreichische Technikgeschichte']"
Café Keese (Berlin),"['Diskothek (Berlin)|Keese', 'Berlin-Charlottenburg', 'Gegründet 1966', 'Gastronomiebetrieb (Berlin)']"
Kraftregelung,"['Produktionstechnik', 'Regelungstheorie', 'Robotik']"
St.-Veit-Kirche (Gärtringen),"['Kirchengebäude im Landkreis Böblingen', 'Kulturdenkmal in Gärtringen|Gartringen', 'Gotisches Bauwerk im Landkreis Böblingen', 'Gotische Kirche', 'Veitskirche', 'Disposition einer Orgel', 'Kirche in der Evangelischen Landeskirche in Württemberg|Gartringen', 'Erbaut im 15. Jahrhundert|St.-Veitkirche #Gartringen', 'Kirchengebäude in Europa', 'Bauwerk in Gärtringen']"
Vorbereitungsdienst,"['Amtsbezeichnung (Deutschland)', 'Akteur der Diplomatie']"
Bürgerpark und Stadtwald,"['Parkanlage in Bremen', 'Denkmalgeschütztes Ensemble in Bremen', 'Schwachhausen']"
Hermann Hahn (Architekt),"['Villa in Thüringen|Pflugensberg', 'Erbaut in den 1890er Jahren', 'Kulturdenkmal in Eisenach', 'Bauwerk in Eisenach', 'Evangelisch-Lutherische Kirche in Thüringen']"
Staatliche Zeichenakademie Hanau,"['Handwerk (Deutschland)', 'Ehemalige Schule in Deutschland|*', 'Zeichnen', 'Berufsbildung in Deutschland']"
Triple-Osteotomie,"['Therapeutisches Verfahren in Orthopädie und Unfallchirurgie', 'Operatives Therapieverfahren', 'Therapeutisches Verfahren in der Tiermedizin']"
Paul Parey Zeitschriftenverlag,"['Sportzeitschrift (Deutschland)', 'Angelzeitschrift', 'Ersterscheinung 1960']"
Goldschmiedeschule mit Uhrmacherschule Pforzheim,"['Handwerk (Deutschland)', 'Ehemalige Schule in Deutschland|*', 'Zeichnen', 'Berufsbildung in Deutschland']"
Nikolaitor (Eisenach),"['Innerortsstraße in Thüringen', 'Straße in Europa', 'Verkehrsbauwerk in Eisenach']"
Postbauschule,"['Postamt in Deutschland|München', 'Postgebäude|München', 'Erbaut in den 1920er Jahren', 'Zerstört in den 2000er Jahren|Munchen, Postamt Ismaninger Strasse', 'Bauwerk in Bogenhausen', 'Abgegangenes Bauwerk in München', 'Bauwerk von Robert Vorhoelzer']"
Straßenbahn Ravensburg–Weingarten–Baienfurt,"['Straßenbahnsystem (Deutschland)|Ravensburg-Weingarten-Baienfurt', 'Verkehrsbauwerk im Landkreis Ravensburg', 'Bahnstrecke in Baden-Württemberg|Ravensburg-Weingarten-Baienfurt', 'Geschichte (Ravensburg)', 'Bauwerk in Weingarten (Württemberg)', 'Baienfurt', 'Bauwerk in Ravensburg']"
Konkneipant,"['Corpswesen', 'Mensur', 'Korporationsmitglied']"
Schweizerhaus (Trechtingshausen),"['Bauwerk am Mittelrhein', 'Bauwerk aus Holz', 'Gastronomiebetrieb (Rheinland-Pfalz)', 'Kulturlandschaft Oberes Mittelrheintal', 'Architektur (Preußen)', 'Erbaut in den 1840er Jahren', 'Kulturdenkmal in Trechtingshausen', 'Bauwerk im Landkreis Mainz-Bingen', 'Unternehmen (Landkreis Mainz-Bingen)']"
Königliches Schauspielhaus (Potsdam),"['Historischer Theatername', 'Theatergebäude in Brandenburg', 'Klassizistisches Bauwerk in Brandenburg', 'Bauwerk in Potsdam', 'Abgegangenes Bauwerk in Brandenburg', 'Erbaut in den 1790er Jahren']"
Geschichte Osttirols,"['Geschichte Osttirols|Matrei', 'Matrei in Osttirol', 'Österreichische Ortsgeschichte|Matrei']"
Brand von Glarus,"['Katastrophe 1861', 'Stadtbrand|Glarus', 'Glarus', 'Schweizerische Geschichte (19. Jahrhundert)', 'Geschichte (Kanton Glarus)']"
Café Keese (Hamburg),"['Café (Hamburg)|Keese #Hamburg', 'Hamburg-St. Pauli']"
Johann Christoph Kees,"['Innere Stadt (Graz)', 'Palais in Graz|Kees', 'Baudenkmal (Steiermark)']"
Linde in Schenklengsfeld,"['Einzelbaum in Hessen', 'Naturdenkmal im Landkreis Hersfeld-Rotenburg', 'Schenklengsfeld', 'Einzelbaum in Europa', 'Individuelle Linde oder Baumgruppe mit Linden']"
Lotosblüte,[]
Neues Königliches Opernhaus Berlin,"['Berlin im Deutschen Kaiserreich', 'Architekturprojekt', 'Architektur (Berlin)', 'Nicht realisiertes Bauprojekt', 'Ludwig Hoffmann (Architekt)']"
Schweizerhaus (Dresden),"['Denkmalgeschütztes Bauwerk in Dresden', 'Kulturdenkmal in Dresden', 'Erbaut in den 1890er Jahren', 'Bauwerk im Schweizerstil in Sachsen', 'Wohngebäude in Dresden']"
Kappelerhof,"['Stadtteil von Zürich', 'Geschichte (Zürich)']"
Georg Schaeffler,"['Rüstungshersteller', 'Ehemaliges Unternehmen (Textilindustrie)', 'Unternehmen (Teppichherstellung)', 'Arisiertes Unternehmen', 'Gegründet 1950', 'Ehemaliges Unternehmen (Berlin)', 'Gmina Kietrz', 'Unternehmen (Woiwodschaft Opole)']"
Gotthard Neumann,"['Archäologische Sammlung in Thüringen|Jena', 'Museum in Jena', 'Universitätssammlung', 'Gegründet 1863', 'Museum für Ur- und Frühgeschichte', 'Ur- und frühgeschichtliche Sammlung der Universität Jena| ', 'Ur- und Frühgeschichte (Europa)']"
Harvestehuder Weg,"['Innerortsstraße in Hamburg', 'Kulturdenkmal in Hamburg-Harvestehude', 'Kulturdenkmal in Hamburg-Rotherbaum']"
Fadenwurminfektionen des Hundes,['Parasitose bei Hunden']
Fetscherstraße 33–37,"['Wohngebäude in Dresden', 'Fetscherstraße', 'Erbaut in den 1960er Jahren']"
Vortragender Rat,"['Corps im Kösener Senioren-Convents-Verband|Saxonia Göttingen', 'Studentenverbindung (Göttingen)|Saxonia', 'Gegründet 1840']"
Haus Fürsteneck,"['Gotisches Bauwerk in Frankfurt am Main', 'Renaissancebauwerk in Frankfurt am Main', 'Abgegangenes Bauwerk in Frankfurt am Main|Fursteneck', 'Frankfurt-Altstadt|Fursteneck', '1362', 'Erbaut im 14. Jahrhundert', 'Zerstört im Zweiten Weltkrieg', 'Zerstört in den 1940er Jahren']"
Mina und Otto Kuttelwascher,['Ehepaar']
Spitalkirche St. Anna und Elisabeth (Öhringen),"['Stiftung in Baden-Württemberg', 'Bauwerk in Öhringen', 'Kulturdenkmal in Öhringen', 'Gegründet 1353', 'Unternehmen (Öhringen)', 'Krankenhaus in Baden-Württemberg']"
Depublizieren,"['Online-Journalismus', 'Internetrecht', 'Rundfunkrecht (Deutschland)', 'Medien und Politik']"
Johanneskirche (Bern),"['Kirchengebäude in Bern', 'Johanneskirche (evangelisch)|Bern', 'Kirche in der reformierten Landeskirche Bern-Jura-Solothurn|Bern Johannes', 'Erbaut in den 1890er Jahren|Bern', 'Neugotisches Kirchengebäude|Bern', 'Neugotisches Bauwerk in der Schweiz|Bern']"
Zeichenschule für Handwerker an der Akademie der Künste Berlin,"['Handwerk (Deutschland)', 'Ehemalige Schule in Deutschland|*', 'Zeichnen', 'Berufsbildung in Deutschland']"
Dresden Leipziger Bahnhof,"['Bahnhof in Dresden|Leipziger Bahnhof', 'Bahnhof in Europa', 'Ehemaliger Bahnhof in Sachsen|Dresden, Leipziger Bahnhof', 'Bauensemble in Dresden|Leipziger Bahnhof', 'Erbaut in den 1830er Jahren', 'Bauwerk in der Leipziger Vorstadt', 'Leipziger Straße (Dresden)', 'Verkehrsgeschichte (Dresden)', 'Technisches Denkmal in Dresden|Leipziger Bahnhof', 'Güterbahnhof', 'Umschlagbahnhof']"
Girardethaus (Hamburg),"['Deutschsprachige Tageszeitung', 'Zeitung (Hamburg, Erscheinen eingestellt)', 'Ersterscheinung 1946', 'Erscheinen eingestellt 1952']"
Kapellenkreuzweg Kloster Altstadt,"['Bauwerk in Hammelburg', 'Baudenkmal in Hammelburg', 'Kalvarienberg', 'Bauensemble des Barock', 'Erbaut in den 1730er Jahren', 'Bauensemble in Bayern', 'Bauensemble in Europa']"
Schloss Eckberg,"['Villa in Dresden', 'Hotel in Dresden', 'Bautzner Straße', 'Erbaut in den 1860er Jahren', 'Loschwitz', 'Kulturdenkmal in Dresden', 'Denkmalgeschütztes Bauwerk in Dresden', 'Denkmalgeschützte Sachgesamtheit in Dresden']"
Walter Kießling,"['Ehemaliges Unternehmen (Radebeul)|Kiesling Gebruder', 'Baumeister|Kiesling', 'Architekturbüro (Deutschland)', 'Geschwister|Kiesling', 'Unternehmer (Radebeul)|Kiesling', 'Bauunternehmer', 'Kießling (Baumeisterfamilie)| ']"
Geschichte von Höchst am Main,"['Frankfurt-Höchst', 'Geschichte von Frankfurt am Main| ', 'Geschichte (Rhein-Main)', 'Deutsche Ortsgeschichte|Hochst']"
Hamburger Tageblatt,"['Zeitung (Hamburg, Erscheinen eingestellt)', 'Deutschsprachige Tageszeitung', 'Ersterscheinung 1922', 'Erscheinen eingestellt 1944', 'Ersterscheinung 1952', 'Erscheinen eingestellt 1957']"
Hochhaus zur Palme,"['Hochhaus in Zürich', 'Erbaut in den 1960er Jahren', 'Kulturgut von regionaler Bedeutung im Kanton Zürich', 'Hochhaus in Europa']"
Jüdische Gemeinde Öhringen,"['Geschichte (Öhringen)', 'Jüdische Gemeinde im Hohenlohekreis|Ohringen', 'Judentum in Öhringen|Gemeinde', 'Organisation (Öhringen)', 'Geschichte (Öhringen)']"
"Sperber (Schiff, 1938)","['Katapultschiff', 'Militärschiff (Luftwaffe)', 'Schiff im Zweiten Weltkrieg', 'Stülcken-Werft']"
Postamt an der Tegernseer Landstraße,"['Postamt in Deutschland|München', 'Postgebäude|München', 'Erbaut in den 1920er Jahren', 'Zerstört in den 2000er Jahren|Munchen, Postamt Ismaninger Strasse', 'Bauwerk in Bogenhausen', 'Abgegangenes Bauwerk in München', 'Bauwerk von Robert Vorhoelzer']"
Julius-Tandler-Familienzentrum,"['Bauwerk in Wien', 'Alsergrund', 'Kinder- und Jugendhilfe (Österreich)', 'Baudenkmal (Wien)']"
Poststraße 24 (Düsseldorf),"['Baudenkmal in Düsseldorf', 'Erbaut in den 1840er Jahren', 'Bauwerk in der Carlstadt (Düsseldorf)', 'Denkmalgeschütztes Bauwerk in Düsseldorf']"
Tanzlinde (Effeltrich),"['Einzelbaum in Bayern', 'Einzelbaum in Europa', 'Naturdenkmal im Landkreis Forchheim', 'Geographie (Effeltrich)', 'Individuelle Linde oder Baumgruppe mit Linden']"
Reichsbahndirektion Köln,"['Reichsbahndirektion|Koeln', 'Schienenverkehr (Köln)', 'Bauwerk des Neoklassizismus in Nordrhein-Westfalen', 'Bürogebäude in Köln', 'Baudenkmal in Köln', 'Erbaut in den 1910er Jahren', 'Altstadt-Nord', 'Bauwerk des Historismus in Köln']"
Unser Frauen (Memmingen),"['Simultankirche', 'Kirchengebäude des Kirchenkreises Augsburg|Memmingen Unser Frauen', 'Gotisches Bauwerk in Bayern|Memmingen', 'Gotische Kirche|Memmingen', 'Liebfrauenkirche|Memmingen', 'Disposition einer Orgel|Memmingen, Unser Frauen (Memmingen)', 'Nach der Haager Konvention geschütztes Kulturgut in Bayern', 'Baudenkmal in Memmingen', 'Kirchengebäude in Memmingen', 'Kirchengebäude in Europa']"
Hans Weinmann,"['Umgenutztes Bauwerk in Ústecký kraj]] umbenannt in [[Kategorie:Umgenutztes Bauwerk im Ústecký kraj]]: laut [[Wikipedia:WikiProjekt Kategorien/Diskussionen/2020/Juli/20#Kategorie:Umgenutztes Bauwerk in Ústecký kraj nach Kategorie:Umgenutztes Bauwerk im Ústecký kraj (erl.)|Diskussion', 'Villa in Tschechien|Weinmann', 'Umgenutztes Bauwerk im Ústecký kraj', 'Bauwerk des Historismus in Tschechien', 'Bauwerk in Ústí nad Labem', 'Kulturdenkmal in Ústí nad Labem', 'Judentum in Ústí nad Labem', 'Erbaut in den 1920er Jahren']"
Friedhof Rehalp,"['Friedhof in Europa', 'Friedhof in Zürich|Rehalp', 'Kulturgut von regionaler Bedeutung im Kanton Zürich', 'Friedhof in Europa|Zurich']"
Königseiche,"['Einzelbaum in Thüringen', 'Naturdenkmal in Thüringen', 'Geographie (Unstrut-Hainich-Kreis)', 'Körner (Thüringen)', 'Gedenkbaum', 'Einzelbaum in Europa', 'Individuelle Eiche oder Baumgruppe mit Eichen']"
Bombergbahn,"['Verkehr (Bad Pyrmont)]]; +[[Kategorie:Bauwerk in Bad Pyrmont', 'Standseilbahn in Deutschland', 'Spurweite 775 mm', 'Verkehrsbauwerk im Landkreis Hameln-Pyrmont', 'Seilbahn in Europa', 'Verkehr (Bad Pyrmont)', 'Bauwerk in Bad Pyrmont']"
Dienstgebäude der Königlichen Eisenbahndirektion Berlin,"['Preußische Staatseisenbahnen', 'Berlin-Kreuzberg', 'Baudenkmal in Berlin', 'Bürogebäude in Berlin', 'Architektur (Preußen)', 'Verkehr (Preußen)', 'Schienenverkehrsbauwerk', 'Neorenaissancebauwerk in Berlin', 'Erbaut in den 1890er Jahren']"
Kleine Marxerbrücke,"['Wienflussbrücke in Wien', 'Brücke in Europa', 'Landstraße (Wien)', 'Innere Stadt (Wien)', 'Erbaut in den 1900er Jahren']"
Gregor Schöllgen,"['Rüstungshersteller', 'Ehemaliges Unternehmen (Textilindustrie)', 'Unternehmen (Teppichherstellung)', 'Arisiertes Unternehmen', 'Gegründet 1950', 'Ehemaliges Unternehmen (Berlin)', 'Gmina Kietrz', 'Unternehmen (Woiwodschaft Opole)']"
Ostfriesland zur Zeit des Dreißigjährigen Krieges,"['Architekturgeschichte (Deutschland)|Kirchenbau in Ostfriesland', 'Kirchengebäude in Ostfriesland', 'Geschichte (Ostfriesland)| Kirchenbau']"
Magister Theologiae,"['Theologiestudium', 'Akademischer Grad']"
Appellationsgerichtshof Köln,"['Historisches Gericht (Nordrhein-Westfalen)', 'Historisches Gericht (Preußen)', 'Gegründet 1814', 'Aufgelöst 1879', 'Gericht (Köln)']"
Schoeler (Adelsgeschlecht),['Preußisches Adelsgeschlecht']
Windmühlen in Berlin,"['Windmühle in Berlin| ', 'Mühle in Europa']"
Neue Berliner Pferdebahn,"['Straßenbahnbetrieb (Deutschland)|Berlin, Neue', 'Straßenbahn Berlin', 'Ehemaliges Verkehrsunternehmen (Berlin)']"
Nur zwei Dinge,"['Gedicht', 'Literatur (Deutsch)', 'Literatur (20. Jahrhundert)', 'Literarisches Werk', 'Gottfried Benn']"
Kunstgewerbe- und Handwerkerschule Magdeburg,"['Schule in Magdeburg', 'Kulturdenkmal in Magdeburg', 'Kunstgewerbeschule|Magdeburg', 'Handwerk (Deutschland)|Magdeburg', 'Gegründet 1793']"
Berliner Volks-Zeitung,"['Medien (Deutsches Kaiserreich)]]; Ergänze [[Kategorie:Zeitung (Deutsches Kaiserreich)', 'Zeitung (Berlin, Erscheinen eingestellt)', 'Zeitung (Preußen)', 'Zeitung (Deutsches Kaiserreich)', 'Medien (Weimarer Republik)', 'Ersterscheinung 1853', 'Erscheinen eingestellt 1944']"
Blue Yodeling,"['Country-Musik-Stil', 'Gesangstechnik', 'Old-Time Music', 'Blues']"
Kabarett Änderungsschneiderei,"['Theatername (Frankfurt am Main)', 'Kleinkunstbühne', 'Kabarett-Ensemble', 'Kabarett (Deutschland)', 'Frankfurt-Ostend']"
Adolph und Fritz Brunner,"['Historische Organisation (Schweiz)', 'Organisation (Zürich)', 'Gegründet 1380']"
Schwanenmarkt 8,"['Baudenkmal in Düsseldorf', 'Erbaut in den 1830er Jahren', 'Denkmalgeschütztes Bauwerk in Düsseldorf', 'Bauwerk in der Carlstadt (Düsseldorf)']"
Das Kloster der Minne,"['Kunst des Mittelalters', 'Mittelalter (Literatur)', 'Literatur (14. Jahrhundert)', 'Literatur (Mittelhochdeutsch)', 'Literarisches Werk', 'Deutsche Geschichte (14. Jahrhundert)', 'Minnerede']"
Villa Schnetzer,"['Garten in Europa]]; ±[[Kategorie:Garten in Deutschland]]→[[Kategorie:Garten in Bayern', 'Baudenkmal in Kempten (Allgäu)', 'Villa in Kempten (Allgäu)|Schnetzer', 'Erbaut in den 1920er Jahren', 'Erbaut in den 1860er Jahren', 'Garten in Bayern', 'Pavillon', 'Garten in Europa']"
Stark-Preis,"['Regionale Auszeichnung|Stark-Preis', 'Auszeichnung (Schleswig-Holstein)|Stark-Preis']"
Kasberger Linde,"['Naturdenkmal im Landkreis Forchheim', 'Einzelbaum in Bayern', 'Geographie (Gräfenberg)', 'Einzelbaum in Europa', 'Individuelle Linde oder Baumgruppe mit Linden', 'Kunigunde von Luxemburg als Namensgeber']"
Geschichte der Juden in Ostfriesland,"['Jüdische Gemeinde in Niedersachsen|Esens', 'Organisation (Esens)', 'Judentum im Landkreis Wittmund|Gemeinde Esens', 'Religion (Esens)']"
Warenhaus Tietz (Heinrich-Heine-Allee),"['Abgegangenes Bauwerk in Düsseldorf', 'Erbaut in den 1830er Jahren', 'Bauwerk in Stadtmitte (Düsseldorf)', 'Schulgebäude in Nordrhein-Westfalen|Dusseld', 'Klassizistisches Bauwerk in Düsseldorf', 'Zerstört in den 1900er Jahren', 'Gymnasium in Düsseldorf']"
Kinderzuschlag,"['Sozialleistung (Deutschland)', 'Familienpolitik (Deutschland)']"
Aberlin Jörg,"['Kulturdenkmal in Öhringen', 'Bauwerk in Öhringen', 'Kirchengebäude im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotisches Bauwerk im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotische Kirche|Ohringen, Stiftskirche', 'Krypta|Ohringen, Stiftskirche', 'Peter-und-Paul-Kirche|Ohringen, Stiftskirche', 'Kollegiatstift|Ohringen, Stiftskirche', 'Kollegiatstiftskirche in Deutschland|Ohringen, Stiftskirche', 'Kirche in der Evangelischen Landeskirche in Württemberg|Ohringen', 'Disposition einer Orgel|Ohringen, Stiftskirche', 'Innenraum der Gotik|Ohringen, Stiftskirche', 'Kirchengebäude in Europa', 'Religion (Öhringen)', 'Organisation (Öhringen)']"
Vereinigte Staatsschulen für freie und angewandte Kunst,"['Hochschule für Bildende Kunst', 'Hochschule für Angewandte Kunst', 'Architekturhochschule', 'Ehemalige Hochschule in Berlin', 'Gegründet 1924', 'Aufgelöst 1939', 'Berlin-Charlottenburg']"
Kulturareal Desert,"['Kultur (Aborigines)', 'Kulturraum']"
Gerold Escher,"['Stadtteil von Zürich', 'Geschichte (Zürich)']"
Alte Kirche Wollishofen,"['Barockbauwerk im Kanton Zürich]]; Ergänze [[Kategorie:Barockbauwerk in Zürich', 'Kirchengebäude in Zürich|Wollishofen, Alt', 'Barocke Kirche|Zurich, Wollishofen', 'Barockbauwerk in Zürich|Zurich, Wollishofen', 'Erbaut in den 1700er Jahren|Zurich, Wollishofen', 'Kirche in der Reformierten Kirche Kanton Zürich|Zurich, Wollishofen, Alt', 'Disposition einer Orgel|Wollishofen, Alte Kirche']"
Gesellschaft für Sprachtechnologie und Computerlinguistik,"['Computerlinguistik', 'Sprachgesellschaft', 'Organisation (Informatik)', 'Gegründet 1975', 'Verein (München)', 'Wissenschaftliche Organisation (Deutschland)']"
Hochwasserschutz in Dresden,"['Geographie (Dresden)', 'Hochwasserschutz', 'Stadtplanung (Dresden)', 'Hochwasserereignis (Elbe)|Dresden']"
Karl-Marx-Erinnerungsstätte in Berlin-Stralau,"['Karl-Marx-Denkmal|Berlinstralau', 'Denkmal in Berlin', 'Berlin-Friedrichshain', 'Erbaut in den 1960er Jahren']"
Landesbühne Niedersachsen Nord,"['Theater (Niedersachsen)', 'Kultur (Wilhelmshaven)', 'Kultur (Ostfriesland)', 'Kultur (Emsland)', 'Oldenburger Münsterland', 'Gegründet 1952']"
Alexander Dietz,"['Fachwerkhaus in Frankfurt am Main', 'Renaissancebauwerk in Frankfurt am Main', 'Frankfurt am Main im 16. Jahrhundert', 'Frankfurt-Altstadt', 'Abgegangenes Bauwerk in Frankfurt am Main']"
Hugo-Junkers-Preis,"['Journalismuspreis|Junkers', 'Junkers|Junkers, Hugo-Journalistenpreis', 'Auszeichnung (Luftfahrt)', 'Erstverleihung 1996']"
Justizanstalt,"['Gefängniswesen', 'Strafvollzugsrecht (Österreich)', 'Justizanstalt| Justizanstalt']"
Geschichte Lörrachs,"['Geschichte (Lörrach)| ', 'Deutsche Ortsgeschichte|Lorrach']"
Wurminfektionen der Katze,['Parasitose bei Katzen| ']
Schwarzhäupterhaus,"['Organisation (Hanse)', 'Wirtschaftsgeschichte der Frühen Neuzeit', 'Deutsche Geschichte (Heiliges Römisches Reich)', 'Historische Organisation (Europa)', 'Adelsverband', 'Patriziergesellschaft']"
