Title,Categories
Stadtkapelle Öhringen,"['Kulturdenkmal in Öhringen', 'Bauwerk in Öhringen', 'Kirchengebäude im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotisches Bauwerk im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotische Kirche|Ohringen, Stiftskirche', 'Krypta|Ohringen, Stiftskirche', 'Peter-und-Paul-Kirche|Ohringen, Stiftskirche', 'Kollegiatstift|Ohringen, Stiftskirche', 'Kollegiatstiftskirche in Deutschland|Ohringen, Stiftskirche', 'Kirche in der Evangelischen Landeskirche in Württemberg|Ohringen', 'Disposition einer Orgel|Ohringen, Stiftskirche', 'Innenraum der Gotik|Ohringen, Stiftskirche', 'Kirchengebäude in Europa', 'Religion (Öhringen)', 'Organisation (Öhringen)']"
Kennedybrücke (Wien),"['Wienflussbrücke in Wien', 'Brücke in Europa', 'Hietzing', 'Penzing (Wien)', 'John F. Kennedy als Namensgeber|Wien', 'Erbaut in den 1960er Jahren', 'Hauptstraße A', 'Straße in Wien-Hietzing', 'Straße in Wien-Penzing']"
Fettmilch-Aufstand,"['Aufstand im Heiligen Römischen Reich', 'Frankfurt am Main im 17. Jahrhundert', 'Judentum in Frankfurt am Main', 'Antijudaismus', 'Pogrom', '1614', 'Aufstand (17. Jahrhundert)']"
Geschichte Aubings,"['Aubing', 'Münchner Geschichte|!Aubing', 'Deutsche Ortsgeschichte|Aubing']"
Ur- und frühgeschichtliche Sammlung der Universität Jena,"['Archäologische Sammlung in Thüringen|Jena', 'Museum in Jena', 'Universitätssammlung', 'Gegründet 1863', 'Museum für Ur- und Frühgeschichte', 'Ur- und frühgeschichtliche Sammlung der Universität Jena| ', 'Ur- und Frühgeschichte (Europa)']"
Schloss Velden (Neufelden),"['Baudenkmal (Oberösterreich)', 'Schloss in Oberösterreich|Velden', 'Neufelden', 'Baudenkmal (Oberösterreich)']"
Schifflersgrund,"['Geographie (Werra-Meißner-Kreis)]]; ±[[Kategorie:Bad Sooden-Allendorf]]→[[Kategorie:Geographie (Bad Sooden-Allendorf)', 'Innerdeutsche Grenze', 'Hessische Geschichte', 'Geographie (Bad Sooden-Allendorf)', 'Asbach-Sickenberg', 'Geographie (Landkreis Eichsfeld)', 'Geschichte des Eichsfeldes', 'Innerdeutsche Grenze im Eichsfeld', 'Flucht aus der Sowjetischen Besatzungszone und der DDR']"
Der Raubfisch,"['Tierzeitschrift', 'Angelzeitschrift', 'Sportzeitschrift (Deutschland)']"
Kunstsammlungen Zwickau,"['Organisation (Zwickau)', 'Spezialbibliothek|Zwickau, Ratsschulbibliothek', 'Bibliothek in Sachsen|Zwickau, Ratsschulbibliothek', 'Gegründet im 15. Jahrhundert', 'Historische Gymnasialbibliothek|Zwickau, Ratsschulbibliothek', 'Kultur (Zwickau)|Ratsschulbibliothek']"
Staatsarchiv Leipzig,"['Staatsarchiv (Sachsen)|Leipzig', 'Archiv (Leipzig)']"
Schoeler-Schlösschen,"['Baudenkmal in Berlin', 'Berlin-Wilmersdorf', 'Erbaut in den 1750er Jahren', 'Umgenutztes Bauwerk in Berlin', 'Barockbauwerk in Berlin']"
St.-Georgs-Bruderschaft,"['Patriziergesellschaft| ', 'Wirtschaftsgeschichte der Frühen Neuzeit', 'Deutsche Geschichte (Heiliges Römisches Reich)', 'Historische Organisation (Deutschland)']"
Afghanischer Bürgerkrieg (1989–2001),"['Afghanischer Bürgerkrieg (1989–2001)| ', 'Krieg (Asien)']"
Gebrüder Kießling,"['Ehemaliges Unternehmen (Radebeul)|Kiesling Gebruder', 'Baumeister|Kiesling', 'Architekturbüro (Deutschland)', 'Geschwister|Kiesling', 'Unternehmer (Radebeul)|Kiesling', 'Bauunternehmer', 'Kießling (Baumeisterfamilie)| ']"
Der Landvogt von Greifensee,"['Novelle', 'Literarisches Werk', 'Literatur (19. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schweiz)', 'Literarisches Werk von Gottfried Keller', 'Zyklisches Werk']"
Hermann Herter,"['Wettbewerb]]; +[[Kategorie:Kultur (Zürich)]]; +[[Kategorie:Veranstaltung 1918', 'Veranstaltung (Zürich)', 'Veranstaltung (Architektur)', 'Wettbewerb', 'Kultur (Zürich)', 'Veranstaltung 1918']"
Kies (Kurzgeschichte),"['Literarisches Werk', 'Kurzgeschichte', 'Literatur (21. Jahrhundert)', 'Literatur (Englisch)', 'Kanadische Literatur', 'Werk von Alice Munro']"
Dorper Kirche,"['Baudenkmal in Solingen', 'Kirchengebäude in Solingen', 'Disposition einer Orgel|Solingen, Dorper Kirche', 'Kirchengebäude der Evangelischen Kirche im Rheinland|Solingen, Dorper Kirche', 'Kirchengebäude des Jugendstils|Solingen, Dorper Kirche', 'Bauwerk des Jugendstils in Nordrhein-Westfalen|Solingen, Dorper Kirche', 'Erbaut in den 1910er Jahren|Solingen, Dorper Kirche', 'Bauwerk von Arno Eugen Fritsche']"
Großer Speicher,"['Fachwerkhaus in Frankfurt am Main', 'Renaissancebauwerk in Frankfurt am Main', 'Frankfurt am Main im 16. Jahrhundert', 'Frankfurt-Altstadt', 'Abgegangenes Bauwerk in Frankfurt am Main']"
Christoph Starke,"['Technische Universität Wien', 'Ehemaliges Unternehmen (Österreich)', 'Technische Universität Wien']"
Hamburger Anzeiger,"['Deutschsprachige Tageszeitung', 'Zeitung (Hamburg, Erscheinen eingestellt)', 'Ersterscheinung 1946', 'Erscheinen eingestellt 1952']"
Ian Lilburn,"['Corpswesen', 'Mensur', 'Korporationsmitglied']"
Kieselgebäude,"['Elisabeth-Vorstadt|Kieselgebaude', 'Bauwerk in Salzburg|Kieselgebaude', 'Druckerei (Österreich)', 'Ehemaliges Unternehmen (Österreich)', 'Erbaut in den 1920er Jahren', 'Bauwerk der Moderne im Land Salzburg', 'Wunibald Deininger', 'Wilhelm Holzbauer', 'Bürogebäude in Österreich|Kieselgebaude', 'Einkaufszentrum in Österreich', 'Unbewegliches Denkmal unter Denkmalschutz im Land Salzburg']"
Königliches Gymnasium (Düsseldorf),"['Abgegangenes Bauwerk in Düsseldorf', 'Erbaut in den 1830er Jahren', 'Bauwerk in Stadtmitte (Düsseldorf)', 'Schulgebäude in Nordrhein-Westfalen|Dusseld', 'Klassizistisches Bauwerk in Düsseldorf', 'Zerstört in den 1900er Jahren', 'Gymnasium in Düsseldorf']"
Alte Geestebrücke,"['Kulturdenkmal in Bremerhaven', 'Straßenbrücke in Bremerhaven', 'Drehbrücke', 'Brücke in Europa', 'Geeste (Fluss)', 'Geestemünde', 'Mitte (Bremerhaven)']"
Kärntner Institut für Seenforschung,"['Verein (Kärnten)', 'Geographie (Kärnten)', 'Organisation (Klagenfurt am Wörthersee)', 'Gegründet 1975', 'Gewässerökologie', 'Kärntner Landesregierung']"
Constaffel,"['Politikgeschichte (Zürich)', 'Geschichte (Kanton Zürich)', '1304', 'Recht (Mittelalter)', 'Verfassung (Schweiz)', 'Sozialgeschichte', 'Historische Rechtsquelle (Schweiz)', 'Rechtsquelle (14. Jahrhundert)', 'Verfassungsgeschichte (Schweiz)']"
Villa Pflugensberg,"['Villa in Thüringen|Pflugensberg', 'Erbaut in den 1890er Jahren', 'Kulturdenkmal in Eisenach', 'Bauwerk in Eisenach', 'Evangelisch-Lutherische Kirche in Thüringen']"
Geschichte Matreis in Osttirol,"['Geschichte Osttirols|Matrei', 'Matrei in Osttirol', 'Österreichische Ortsgeschichte|Matrei']"
Markthalle IV,"['Kulturdenkmal (Berlin)|Markthalle 04', 'Markthalle in Berlin|Markthalle 04', 'Erbaut in den 1880er Jahren|Berlin Markthalle 04', 'Berlin-Mitte|Markthalle 04', 'Postgebäude in Berlin', 'Berliner Postgeschichte']"
Postversuchssiedlung,"['Bauwerk von Robert Vorhoelzer', 'Bauwerk der Neuen Sachlichkeit in Bayern', 'Siedlung (Städtebau) in München', 'Baudenkmal in Neuhausen (München)', 'Bauwerk in Neuhausen (München)', 'Erbaut in den 1920er Jahren', 'Bauwerk von Robert Vorhoelzer']"
Dornbacher Friedhof,"['Friedhof in Wien', 'Hernals']"
Corpsbursche,"['Corpswesen', 'Mensur', 'Korporationsmitglied']"
Kratzquartier,"['Stadtteil von Zürich', 'Geschichte (Zürich)']"
Kontakt- und Informationsstelle für Selbsthilfegruppen,"['Patientenorientierung', 'Selbsthilfeorganisation', 'Berlin-Charlottenburg', 'Hilfsorganisation in Berlin', 'Patientenorientierung']"
Rathausstraße (Wien),"['Straße in Wien-Innere Stadt', 'Nebenstraße in Wien']"
Pegel Würzburg,"['Hochwasserereignis (Rhein)|Wurzburg', 'Hochwasserschutz', 'Main', 'Würzburger Geschichte']"
Weinhaus Rheingold,"['Berlin-Tiergarten', 'Gastronomiebetrieb (Berlin)', 'Erbaut in den 1900er Jahren', 'Zerstört in den 1940er Jahren', 'Abgegangenes Bauwerk in Berlin', 'Potsdamer Platz', 'Zerstört im Zweiten Weltkrieg']"
Strumaresektion,"['Therapeutisches Verfahren in der Chirurgie', 'Operatives Therapieverfahren', 'Schilddrüse']"
Schweizerhäuschen (Leipzig),"['Café (Leipzig)|Schweizerhauschen', 'Umgenutztes Bauwerk in Leipzig', 'Rekonstruiertes Bauwerk in Leipzig', 'Erbaut in den 1990er Jahren|Schweizerhauschenb', 'Biedermeier']"
Hauptpost Coburg,"['Baudenkmal in Coburg', 'Postamt in Deutschland|Coburg', 'Bauwerk der Neuen Sachlichkeit in Bayern', 'Erbaut in den 1930er Jahren', 'Postgebäude', 'Bauwerk in Coburg', 'Postgeschichte (Bayern)']"
Bürgerliche Gesellschaft,['Gesellschaftsmodell']
Kettenschifffahrt auf Elbe und Saale,"['Kettenschifffahrt', 'Main', 'Industriekultur Rhein-Main', 'Schifffahrt (Hessen)', 'Schifffahrt (Bayern)', 'Verkehrsgeschichte (Hessen)', 'Verkehrsgeschichte (Bayern)']"
Innsbrucker Mittelgebirgsbahn,"['Bahnstrecke in Tirol', 'Straßenbahnstrecke|Innsbruck Mittelgebirgsbahn', 'Verkehrsbauwerk in Innsbruck', 'Tuxer Alpen', 'Spurweite 1000 mm', 'Erbaut in den 1900er Jahren|Innsbruck, Mittelgebirgsbahn', 'Wilten', 'Amras', 'Aldrans', 'Lans (Tirol)', 'Igls']"
Wartburgallee,"['Innerortsstraße in Thüringen', 'Straße in Europa', 'Verkehrsbauwerk in Eisenach']"
Friedrich von Stülpnagel (Politiker),"['Corps im Kösener Senioren-Convents-Verband|Saxonia Göttingen', 'Studentenverbindung (Göttingen)|Saxonia', 'Gegründet 1840']"
Wehrgeologie,"['Militärwissenschaft', 'Angewandte Geologie']"
Frau Wernicke,"['Frauen und Militär', 'Fiktive Person (weiblich)', 'BBC', 'Geschichte des Hörfunks', 'Propaganda im Zweiten Weltkrieg', 'Medien (Militär)', 'Frauen und Medien', 'Frauen und Militär']"
Viola-Bianka Kießling,"['Wissenschaftspreis (Deutschland)', 'Mitteldeutschland', 'Geschichtswissenschaftlicher Preis', 'Erstverleihung 2004']"
Gesellschaft der Schildner zum Schneggen,"['Historische Organisation (Schweiz)', 'Organisation (Zürich)', 'Gegründet 1380']"
Filbinger-Affäre,"['Politische Affäre in der Bundesrepublik Deutschland', 'Politik 1978', 'Militärjustiz', 'Aufarbeitung des Nationalsozialismus', 'Hans Filbinger']"
Hochwasser in Würzburg,"['Hochwasserereignis (Rhein)|Wurzburg', 'Hochwasserschutz', 'Main', 'Würzburger Geschichte']"
Natzmer,"['Corps im Kösener Senioren-Convents-Verband|Saxonia Göttingen', 'Studentenverbindung (Göttingen)|Saxonia', 'Gegründet 1840']"
Umweltbundesamt,[]
Telldenkmal,"['Denkmal in der Schweiz', 'Nationales Symbol (Schweiz)', 'Wilhelm Tell', 'Denkmal einer fiktiven Person']"
Spital Öhringen,"['Stiftung in Baden-Württemberg', 'Bauwerk in Öhringen', 'Kulturdenkmal in Öhringen', 'Gegründet 1353', 'Unternehmen (Öhringen)', 'Krankenhaus in Baden-Württemberg']"
Ratsschulbibliothek Zwickau,"['Organisation (Zwickau)', 'Spezialbibliothek|Zwickau, Ratsschulbibliothek', 'Bibliothek in Sachsen|Zwickau, Ratsschulbibliothek', 'Gegründet im 15. Jahrhundert', 'Historische Gymnasialbibliothek|Zwickau, Ratsschulbibliothek', 'Kultur (Zwickau)|Ratsschulbibliothek']"
Züricher Novellen,"['Novelle', 'Literarisches Werk', 'Literatur (19. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schweiz)', 'Literarisches Werk von Gottfried Keller', 'Zyklisches Werk']"
Convent (Studentenverbindung),"['Corpswesen', 'Mensur', 'Korporationsmitglied']"
Corps Saxonia Göttingen,"['Corps im Kösener Senioren-Convents-Verband|Saxonia Göttingen', 'Studentenverbindung (Göttingen)|Saxonia', 'Gegründet 1840']"
Kalmenhof,"['Gedenkstätte für NS-Opfer', 'Mahnmal', 'Bauwerk in Idstein', 'Kulturdenkmal in Idstein', 'Erbaut in den 1590er Jahren', 'NS-Zwischenanstalt', 'Denkmal in Hessen', 'NS-Kinderfachabteilung']"
Hauptpostamt Dresden 6,"['Kulturdenkmal in Dresden', 'Bauwerk der Sozialistischen Moderne in Dresden', 'Erbaut in den 1960er Jahren', 'Königsbrücker Straße', 'Denkmalgeschütztes Bauwerk in Dresden', 'Postwesen (Dresden)', 'Postamt in Deutschland|Dresden', 'Postgebäude|Dresden']"
Patriziergesellschaft,"['Patriziergesellschaft| ', 'Wirtschaftsgeschichte der Frühen Neuzeit', 'Deutsche Geschichte (Heiliges Römisches Reich)', 'Historische Organisation (Deutschland)']"
St. Ulrich (Amendingen),"['Kirchengebäude in Memmingen|Ulrich', 'Kirchengebäude im römisch-katholischen Dekanat Memmingen|Memmingen Ulrich', 'Oberschwäbische Barockstraße|Memmingen', 'Barockbauwerk in Bayern|Amendingen', 'Barocke Kirche|Amendingen', 'Ulrichskirche|Memmingen', 'Saalkirche', 'Disposition einer Orgel|Amendingen, St. Ulrich (Amendingen)', 'Erbaut in den 1750er Jahren', 'Baudenkmal in Memmingen|Ulrich', 'Pfarrkirche des Bistums Augsburg|Amendingen', 'Kirchengebäude in Europa']"
Frankfurter Stadtgeläute,"['Musik (Frankfurt am Main)', 'Glockengeläut', 'Frankfurt-Altstadt', 'Christentum in Frankfurt am Main']"
Lutherkirche (Kassel),"['Kirchengebäude in Europa', 'Kirchengebäude in Kassel', 'Kirchengebäude der Evangelischen Kirche von Kurhessen-Waldeck|Kassel, Luther', 'Martin-Luther-Kirche|Kassel', 'Notkirche|Kassel', 'Erbaut in den 1890er Jahren', 'Denkmalgeschütztes Bauwerk in Kassel', 'Bauwerk von Hugo Schneider']"
Stiftskirche Öhringen,"['Kulturdenkmal in Öhringen', 'Bauwerk in Öhringen', 'Kirchengebäude im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotisches Bauwerk im Hohenlohekreis|Ohringen, Stiftskirche', 'Gotische Kirche|Ohringen, Stiftskirche', 'Krypta|Ohringen, Stiftskirche', 'Peter-und-Paul-Kirche|Ohringen, Stiftskirche', 'Kollegiatstift|Ohringen, Stiftskirche', 'Kollegiatstiftskirche in Deutschland|Ohringen, Stiftskirche', 'Kirche in der Evangelischen Landeskirche in Württemberg|Ohringen', 'Disposition einer Orgel|Ohringen, Stiftskirche', 'Innenraum der Gotik|Ohringen, Stiftskirche', 'Kirchengebäude in Europa', 'Religion (Öhringen)', 'Organisation (Öhringen)']"
Gewidmete Gräber der Stadt Wien,['Friedhof in Wien|!Gewidmete Graber der Stadt Wien']
Wilhelm Schaeffler,"['Rüstungshersteller', 'Ehemaliges Unternehmen (Textilindustrie)', 'Unternehmen (Teppichherstellung)', 'Arisiertes Unternehmen', 'Gegründet 1950', 'Ehemaliges Unternehmen (Berlin)', 'Gmina Kietrz', 'Unternehmen (Woiwodschaft Opole)']"
Richtebrief,"['Politikgeschichte (Zürich)', 'Geschichte (Kanton Zürich)', '1304', 'Recht (Mittelalter)', 'Verfassung (Schweiz)', 'Sozialgeschichte', 'Historische Rechtsquelle (Schweiz)', 'Rechtsquelle (14. Jahrhundert)', 'Verfassungsgeschichte (Schweiz)']"
Nosseni-Epitaph,"['Renaissance-Altar|Dresden', 'Kulturdenkmal in Dresden', 'Rekonstruiertes Bauwerk in Dresden', 'Renaissancebauwerk in Sachsen', 'Altar (17. Jahrhundert)', 'Sophienkirche (Dresden)', 'Loschwitz', 'Steinskulptur', 'Marmorskulptur (Deutschland)', 'Skulptur (17. Jahrhundert)', 'Skulptur in Dresden']"
Österreichischer Ingenieur- und Architekten-Verein,"['Verein (Wien)', 'Gegründet 1848', 'Österreichische Technikgeschichte']"
Fußball im Ruhrgebiet,"['Fußball in Nordrhein-Westfalen', 'Sport (Ruhrgebiet)']"
Kaufmannschaft zu Lübeck,"['Lübecker Wirtschaftsgeschichte', 'Organisation (Lübeck)', 'Körperschaft des öffentlichen Rechts', 'Deutsche Wirtschaftsorganisation|Lubeck', 'Gegründet 1853']"
Reichsverband der Deutschen Presse,"['Ehemalige Gewerkschaft (Deutschland)', 'Pressegeschichte (Deutschland)']"
Kettenschifffahrt auf dem Main,"['Kettenschifffahrt', 'Main', 'Industriekultur Rhein-Main', 'Schifffahrt (Hessen)', 'Schifffahrt (Bayern)', 'Verkehrsgeschichte (Hessen)', 'Verkehrsgeschichte (Bayern)']"
Heilig-Geist-Spital,['Heilig-Geist-Spital|!']
Leopold-Kunschak-Platz,"['Hernals', 'Platz in Wien', 'Platz in Europa']"
Rudolstädter Vogelschießen,"['Volksfest in Thüringen', 'Rudolstadt', 'Schützenfest', 'Veranstaltung (Landkreis Saalfeld-Rudolstadt)']"
Jüdische Gemeinde Esens,"['Jüdische Gemeinde in Niedersachsen|Esens', 'Organisation (Esens)', 'Judentum im Landkreis Wittmund|Gemeinde Esens', 'Religion (Esens)']"
Palais Kees,"['Innere Stadt (Graz)', 'Palais in Graz|Kees', 'Baudenkmal (Steiermark)']"
Unterrichtsanstalt des Kunstgewerbemuseums Berlin,"['Schule für Angewandte Kunst', 'Berufsbildende Schule in Berlin', 'Kunstgewerbeschule|Berlin', 'Kunstgewerbemuseum Berlin', 'Gegründet 1868', 'Schule in Berlin-Kreuzberg']"
St. Jakobusbruderschaft Trier,"['Römisch-katholische Organisation', 'Jakobsweg', 'Jakobus der Ältere']"
Honschaft Schöller,"['Ehemalige Verwaltungseinheit (Wuppertal)', 'Geschichte (Haan)', 'Honschaft im Herzogtum Berg|Scholler']"
Städtischer Vieh- und Schlachthof (Dresden),"['Schlachthof|Dresden', 'Industriedenkmal in Sachsen', 'Technisches Denkmal in Dresden', 'Bauensemble in Dresden', 'Friedrichstadt (Dresden)', 'Hans Erlwein', 'Denkmalgeschütztes Bauwerk in Dresden', 'Umgenutztes Bauwerk in Dresden', 'Essen und Trinken (Dresden)', 'Industriebauwerk in Dresden', 'Stadtverwaltung Dresden', 'Denkmalgeschützte Sachgesamtheit in Dresden']"
Nosseni-Altar,"['Renaissance-Altar|Dresden', 'Kulturdenkmal in Dresden', 'Rekonstruiertes Bauwerk in Dresden', 'Renaissancebauwerk in Sachsen', 'Altar (17. Jahrhundert)', 'Sophienkirche (Dresden)', 'Loschwitz', 'Steinskulptur', 'Marmorskulptur (Deutschland)', 'Skulptur (17. Jahrhundert)', 'Skulptur in Dresden']"
Kunstpreis junger westen,"['Kunstpreis', 'Kultur (Recklinghausen)', 'Kultur (Kreis Recklinghausen)', 'Regionale Auszeichnung', 'Kulturpreis (Deutschland)', 'Auszeichnung (Nordrhein-Westfalen)', 'Erstverleihung 1948']"
Legationsrat,"['Amtsbezeichnung (Deutschland)', 'Akteur der Diplomatie']"
Kunststiftung Baden-Württemberg,"['Unternehmen (Stuttgart)', 'Kunst (Stuttgart)', 'Gegründet 1977']"
Rettershof,"['Ehemaliges Prämonstratenserkloster in Hessen', 'Bauwerk in Kelkheim (Taunus)', 'Kulturdenkmal in Kelkheim (Taunus)', 'Organisation (Kelkheim (Taunus))', 'Religion (Main-Taunus-Kreis)']"
Jakobusgesellschaft,"['Römisch-katholische Organisation', 'Jakobsweg', 'Jakobus der Ältere']"
Geschichte des Kirchenbaus in Ostfriesland,"['Architekturgeschichte (Deutschland)|Kirchenbau in Ostfriesland', 'Kirchengebäude in Ostfriesland', 'Geschichte (Ostfriesland)| Kirchenbau']"
Eichendorff-Plakette,"['Orden und Ehrenzeichen (Deutschland)', 'Bundespräsidentschaft (Deutschland)', 'Verband Deutscher Gebirgs- und Wandervereine', 'Joseph von Eichendorff als Namensgeber|Plakette', 'Träger der Eichendorff-Plakette| ']"
Corpsschleifenträger,"['Corpswesen', 'Mensur', 'Korporationsmitglied']"
Simson Sperber,['Simson']
Graf Öderland,"['Literatur (Schweiz)', 'Literatur (Deutsch)', 'Literatur (20. Jahrhundert)', 'Drama', 'Werk von Max Frisch', 'Literarisches Werk']"
Fritz-Kissel-Siedlung,"['Siedlung (Städtebau) in Frankfurt am Main', 'Kulturdenkmal in Frankfurt-Sachsenhausen']"
Postamt Ismaninger Straße,"['Postamt in Deutschland|München', 'Postgebäude|München', 'Erbaut in den 1920er Jahren', 'Zerstört in den 2000er Jahren|Munchen, Postamt Ismaninger Strasse', 'Bauwerk in Bogenhausen', 'Abgegangenes Bauwerk in München', 'Bauwerk von Robert Vorhoelzer']"
Davistan,"['Rüstungshersteller', 'Ehemaliges Unternehmen (Textilindustrie)', 'Unternehmen (Teppichherstellung)', 'Arisiertes Unternehmen', 'Gegründet 1950', 'Ehemaliges Unternehmen (Berlin)', 'Gmina Kietrz', 'Unternehmen (Woiwodschaft Opole)']"
Schinkelpreis,"['Architekturpreis', 'Auszeichnung (Städtebau)', 'Auszeichnung (Berlin)', 'Preis nach Namensgeber', 'Erstverleihung 1852']"
Schulprogramm (historisch),"['Schulwesen (Österreich)', 'Publikation', 'Schulgeschichte (Deutschland)', 'Österreichische Bildungsgeschichte']"
Römische Villa Haselburg,"['Villa rustica in Germanien]]; Ergänze [[Kategorie:Villa rustica in Germania superior', 'Freilichtmuseum in Hessen', 'Villa rustica in Germania superior', 'Bodendenkmal in Hessen', 'Römisches Bauwerk in Hessen', 'Bauwerk in Höchst im Odenwald|Romische Villa']"
Schöne Eiche (Harreshausen),"['Naturdenkmal im Landkreis Darmstadt-Dieburg', 'Einzelbaum in Hessen', 'Geographie (Babenhausen, Hessen)', 'Einzelbaum in Europa', 'Individuelle Eiche oder Baumgruppe mit Eichen']"
